report_date,market_and_exchange_names,open_interest_all,large_spec_net,commercial_net
2026-02-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23335,1638,-1707
2026-02-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22919,1172,-1120
2026-03-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20302,1011,-862
2026-03-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21047,1302,-1322
2026-03-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23807,1773,-1862
2026-03-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23268,2106,-1949
2026-03-31 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20631,2253,-1809
2026-04-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22308,2540,-2232
2026-04-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23761,2193,-2043
2026-04-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24994,2071,-2250
2026-04-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21692,2392,-2332
2026-05-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23402,1441,-1539
2026-05-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23535,1259,-2160
2026-05-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23000,2112,-2272
2026-05-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21625,2282,-2390
2026-06-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19882,2458,-2595
2026-06-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19776,3018,-2906
2026-06-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21125,3475,-3545
2026-06-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20554,3524,-3253
2026-06-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,18336,3770,-3536
